#,wappen,Club,League,"Value May 1, 2012",Current value,%
,,Total value of all clubs:,,€2.82bn,€9.67bn,"242,5 %"
1,,Manchester City,Premier League,€467.00m,€1.30bn,"179,4 %"
2,,Liverpool FC,Premier League,€235.20m,€1.19bn,"406,7 %"
3,,Tottenham Hotspur,Premier League,€269.25m,€977.00m,"262,9 %"
4,,Chelsea FC,Premier League,€381.00m,€844.25m,"121,6 %"
5,,Manchester United,Premier League,€418.50m,€744.25m,"77,8 %"
6,,Arsenal FC,Premier League,€299.25m,€682.75m,"128,2 %"
7,,Leicester City,Championship,€35.35m,€505.25m,"1,329,3 %"
8,,Everton FC,Premier League,€147.00m,€480.70m,"227,0 %"
9,,AFC Bournemouth,League One,€4.48m,€343.75m,"7,581,6 %"
10,,West Ham United,Championship,€62.75m,€338.75m,"439,8 %"
11,,Wolverhampton Wanderers,Premier League,€79.93m,€330.80m,"313,9 %"
12,,Newcastle United,Premier League,€133.75m,€293.83m,"119,7 %"
13,,Aston Villa,Premier League,€124.75m,€261.90m,"109,9 %"
14,,Watford FC,Championship,€14.00m,€234.00m,"1,571,4 %"
15,,Crystal Palace,Championship,€20.80m,€232.80m,"1,019,2 %"
16,,Southampton FC,Championship,€27.60m,€227.00m,"722,5 %"
17,,Brighton & Hove Albion,Championship,€17.88m,€214.75m,"1,101,4 %"
18,,Burnley FC,Championship,€18.63m,€192.75m,"934,9 %"
19,,Norwich City,Premier League,€53.30m,€152.35m,"185,8 %"
20,,Sheffield United,League One,€14.10m,€119.20m,"745,4 %"
