Short, Real
Arsenal,Arsenal FC
Aston Villa,Aston Villa
Barnsley,Barnsley FC
Birmingham,Birmingham City
Blackburn,Blackburn Rovers
Blackpool,Blackpool FC
Bolton,Bolton Wanderers
Bournemouth,AFC Bournemouth
Bradford,Bradford City
Brighton,Brighton & Hove Albion
Burnley,Burnley FC
Cardiff,Cardiff City
Charlton,Charlton Athletic
Chelsea,Chelsea FC
Coventry,Coventry City
Crystal Palace,Crystal Palace
Derby,Derby County
Everton,Everton FC
Fulham,Fulham FC
Huddersfield,Huddersfield Town
Hull,Hull City
Ipswich,Ipswich Town
Leeds,Leeds United
Leicester,Leicester City
Liverpool,Liverpool FC
Man City,Manchester City
Man United,Manchester United
Middlesboro,Middlesbrough FC
Middlesbrough,Millwall FC
Newcastle,Newcastle United
Norwich,Norwich City
Nott'm Forest,Nottingham Forest
Oldham,Oldham Athletic
Portsmouth,Portsmouth FC
QPR,Queens Park Rangers
Reading,Reading FC
Sheffield United,Sheffield United
Sheffield Weds,Sheffield Wednesday
Southampton,Southampton FC
Stoke,Stoke City
Sunderland,Sunderland AFC
Swansea,Swansea City
Swindon,Swindon Town
Tottenham,Tottenham Hotspur
Watford,Watford FC
West Brom,West Bromwich Albion
West Ham,West Ham United
Wigan,Wigan Athletic
Wimbledon,Wimbledon FC
Wolves,Wolverhampton Wanderers
